DRUG,FINGERPRINT
441203,0000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
41867,0000000000000010001000000000010000000010000000000111000000110100000001000010000100001110000000000001110000001100000000000000010001000010000000000001000001100010000000000000000100000001000000000000100001000100000000000111000000000000000000110000000000000000100000100000001000100100000001010110000100100000000000000000111001100000000001000000010011010001010000001000101010000000000000000000100000000100000001000010000000000001010100001011000110001000000000000000100000000000000001000000000000000101010100000000000100000001110100000100000101000101010010000010000000000010000010000000000000000000010110010100010000000100000100000000000000000010001000001011110100000000001000000000000000000000100000000100001101110001000001010000000100001000000000000000100101000000000000000000100000000101000000000000100100100000110000111000000010001110000001000011001000000100001000001010100010000000010000010001000100000000000011100000101000100000000001010000101000000000010000000000000100000001000000000010110100100000000000000000101000000000
71384,0000000000000100000000000000000000000000001000000000000000000000000010000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010000000000000000000001000100110000000000000000000000000000000000000001100000000011000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100001000000000000000000000000000100000100000000000000000100000000000100000000000000001000000000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000
354624,0011000000000110000001000000000000000000010000000100000100110000000000000000000000100110000000010000000100000100000000000100000001100000000000000000000010000000010100000000010000000000000000000000010000000100010000000010000000000000000000100000000010000000100000100000000011100000000000010010000000000000000100000100101010100000000010000000000010000000010100000000100000000001000100000000100011000000010000000001000000000000000000000011000010001001000000000000000000000000000000000100000000000000010000000000000000000011000100001000001110000000000100001000001000000001001100000000000000001000000100010000110000000001100000000000000000001100000000101001000000001000001000000000001100010000000000000000001111010000000000000001000000001000000000000000100000100000000000000000000000000001000000000000000010000110000100110000000000000000000000000011000000000000000000000110000000000000100000010000000001000000000001100000100100010001000000000000000010000001000000010000000010000001001100001000101000000101000100000000000000000000
5288382,1000000001000100000100000010011000000000001000000000010001000011000010000000001000000011000000000010000000100100100000000000000000100000000010100000001010010000001000001110000000100001000000000000010000000010000000000001000000000000100000000111000000000010100001010000000110000000000000010010000001010000001000000010101010010000000001110000001010010000000010000001000000000000000000000000100001010100000001000000000010010000010000000110111100100000001000000000100000000000000100000000000000000000000111000100000000100011000000101000000100000000000000100000001000000000000101000000000000001000010111000101000000000101000100000000011000010110100000001111000000101000001010000010000000000111110000100010000100110001000000001000000000000000000000000100001000000000000010000000011000000010100000000100010101010000000011001000000100000000000010101000000100000000000000000000000000000000100010010010000000000000000011110000100100010000000000010000101110000000000000000000100010010000001000100001100100000100000000000010100000000000
2907,0000000010010100000001000000000000100000000000000000100000000000000000010000000000000010000000000001101000000000000000000000000000000000000100000000100000010000000000000000010000000000000001000000000001000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100010000001000010010100000010000100000000000000000000000000010000000000000000000000000000000000000000000000000000000001110000000000000000000000100001000100001000001100000000000000000001000100000000000001000001000100010100000000000000000100000000000000000000000100000000000000000001000000000000000100000000000000000000000000000000000000000000000010001000000000000000000000010000000000000000000010000000000000100000000000000000000000000000000000000010000100000000000000000000000000000000000100001000100000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000100010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000001000000000
667490,0001000100000000000010000000000000000000000000000000000000110000000000000000000000100100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000100000100100000100000000000000000000010000001000000000000000000000001000000000000000000000000000000000000000001000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000000000000000000000100000000000000001100000000000011000000000000000000000010000000000000000000000000100000000000000001100000000000000000000000000100000000000001000000000000000010000001000100000000000000000101000000000000011000000000
11977753,0001000000000110000000000000000000000000000000000000001100100000001001010000000000100110000000000000000000100000001000000000001000100000000000000000000000000000001000000001010000000000000000010000000000000000000000010011000000001000000000000000001000000000100000000000000001100000000110000010100000000010000100001100100011100001000100000000000010000001000100000000000000000000001100000000010000000000000000000000000000000000000000000110000000000010000000100000000000000000000001000000000100000000001001000000000100000010010000000000001100010000001100000000000011000011100000000000000000000000001100000000000000000000100100010000000000010000000000000001000000001000001000000000001100010000000000000000101101110000000000010000000100000000000000000000100010100000000000100000000010000000000000000000000000000100000100000000000000000000000000010011000000000000000001100010000010000000000000110000000010000000000011100000100000100000000000000010100000000000000000000000000000000101000100000000000001000101010000000000000000000000
24776445,0100000000000100000011000000010000000000000000010000001000010001000010000000001000000110000000000000001100111000001000000000000001110000000000000000000000010000001000000000010000000001000000000000000000000100000000010001000000000000010000000000001000000000000010110001000000100000000000010000000001000000000110001100000000000100000111100000010100000001000000000000000110000000001100000000000001000000001000000000000000000000000000000100000000000011000010000100000000000000000011100000000000000000000001100000001000000010000000000000001000000100001000000000000001000100000110000000000000000100100010000000000000000010000100010000000000001100100000000011000100000000011000000000001001000000010010010000000010101000000000010000000010000000000000000000000000000000000000000000000010000000000000010000011100000000000000000000000000000000100000000000000000000000000000000100000000000000000000100000001000000000000001111001100010000000000000000010100000000100001000000000000010000101000100000000000000000100011100000000000000000000
36314,1000000000000110000100000000010000000000000000000000011001110010000011010000000000000110000000000000000000001100000000000000000001000000000000000000000000010000000000000010000000100001000000000000000011000010000000000011000000001000100000110100000000000000100000110000000000100000000000010011000000010000000000000000111001000000000101111000010010000001010000000000100000000000000100000000100001000100000000000000000010000001010000000011000011001100010010000000100000000000000101000000000001000000010101001000000100000001100100000000000100000100000000100000001000000010000000000000000000000000000110010000010001000101000100010000010010000011000010001011000000000000001000000000000000000100110000000010000100100001000000011000000100001000001000000100100100000000000000000010010010000010000000000100010100100000000000000000000000000100000000000010000100000000000000001011000000000000110000010000000000000000000011100000100000010000000000010000101110010000000101000000000110100001000100000001100000100001000000000000101000000000
